"workflowid","gsm_version","param","index","default","configurable","gsm_analysis_date"
"kri0008","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"kri0008","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"kri0008","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"kri0009","1.8.0","strGroup",NA,"Site",FALSE,2018-12-01
"kri0009","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"kri0009","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"kri0009","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"kri0009","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"kri0009","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"kri0009","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"kri0010","1.8.0","strGroup",NA,"Site",FALSE,2018-12-01
"kri0010","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"kri0010","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"kri0010","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"kri0010","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"kri0010","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"kri0010","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"kri0011","1.8.0","strGroup",NA,"Site",FALSE,2018-12-01
"kri0011","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"kri0011","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"kri0011","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"kri0011","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"kri0011","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"kri0011","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"kri0012","1.8.0","strGroup",NA,"Site",FALSE,2018-12-01
"kri0012","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"kri0012","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"kri0012","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"kri0012","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"kri0012","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"kri0012","1.8.0","nMinDenominator",NA,"3",TRUE,2018-12-01
"cou0001","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0001","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0001","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0001","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0001","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0001","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0001","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"cou0002","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0002","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0002","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0002","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0002","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0002","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0002","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"cou0003","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0003","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0003","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0003","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0003","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0003","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0003","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"cou0004","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0004","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0004","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0004","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0004","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0004","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0004","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"cou0005","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0005","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0005","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0005","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0005","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0005","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0005","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"cou0006","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0006","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0006","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0006","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0006","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0006","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0006","1.8.0","nMinDenominator",NA,"3",TRUE,2018-12-01
"cou0007","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0007","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0007","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0007","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0007","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0007","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0007","1.8.0","nMinDenominator",NA,"3",TRUE,2018-12-01
"cou0008","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0008","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0008","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0008","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0008","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0008","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0008","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"cou0009","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0009","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0009","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0009","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0009","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0009","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0009","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"cou0010","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0010","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0010","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0010","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0010","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0010","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0010","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"cou0011","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0011","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0011","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0011","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0011","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0011","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0011","1.8.0","nMinDenominator",NA,"30",TRUE,2018-12-01
"cou0012","1.8.0","strGroup",NA,"Country",FALSE,2018-12-01
"cou0012","1.8.0","vThreshold",1,"-3",TRUE,2018-12-01
"cou0012","1.8.0","vThreshold",2,"-2",TRUE,2018-12-01
"cou0012","1.8.0","vThreshold",3,"2",TRUE,2018-12-01
"cou0012","1.8.0","vThreshold",4,"3",TRUE,2018-12-01
"cou0012","1.8.0","strMethod",NA,"NormalApprox",FALSE,2018-12-01
"cou0012","1.8.0","nMinDenominator",NA,"3",TRUE,2018-12-01
"qtl0004","1.8.0","strGroup",NA,"Study",FALSE,2018-12-01
"qtl0004","1.8.0","vThreshold",1,"0.01",TRUE,2018-12-01
"qtl0004","1.8.0","strMethod",NA,"qtl",FALSE,2018-12-01
"qtl0004","1.8.0","strOutcome",NA,"rate",FALSE,2018-12-01
"qtl0006","1.8.0","strGroup",NA,"Study",FALSE,2018-12-01
"qtl0006","1.8.0","vThreshold",1,"0.2",TRUE,2018-12-01
"qtl0006","1.8.0","strMethod",NA,"qtl",FALSE,2018-12-01
"qtl0006","1.8.0","strOutcome",NA,"rate",FALSE,2018-12-01
