workflowid,gsm_version,param,index,default,configurable,gsm_analysis_date
kri0007,1.5.0,vThreshold,3,2,TRUE,2016-12-01
kri0007,1.5.0,vThreshold,4,3,TRUE,2016-12-01
kri0007,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
kri0008,1.5.0,strGroup,,Site,FALSE,2016-12-01
kri0008,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
kri0008,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
kri0008,1.5.0,vThreshold,3,2,TRUE,2016-12-01
kri0008,1.5.0,vThreshold,4,3,TRUE,2016-12-01
kri0008,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
kri0009,1.5.0,strGroup,,Site,FALSE,2016-12-01
kri0009,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
kri0009,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
kri0009,1.5.0,vThreshold,3,2,TRUE,2016-12-01
kri0009,1.5.0,vThreshold,4,3,TRUE,2016-12-01
kri0009,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
kri0010,1.5.0,strGroup,,Site,FALSE,2016-12-01
kri0010,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
kri0010,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
kri0010,1.5.0,vThreshold,3,2,TRUE,2016-12-01
kri0010,1.5.0,vThreshold,4,3,TRUE,2016-12-01
kri0010,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
kri0011,1.5.0,strGroup,,Site,FALSE,2016-12-01
kri0011,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
kri0011,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
kri0011,1.5.0,vThreshold,3,2,TRUE,2016-12-01
kri0011,1.5.0,vThreshold,4,3,TRUE,2016-12-01
kri0011,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
kri0012,1.5.0,strGroup,,Site,FALSE,2016-12-01
kri0012,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
kri0012,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
kri0012,1.5.0,vThreshold,3,2,TRUE,2016-12-01
kri0012,1.5.0,vThreshold,4,3,TRUE,2016-12-01
kri0012,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0001,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0001,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0001,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0001,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0001,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0001,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0002,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0002,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0002,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0002,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0002,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0002,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0003,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0003,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0003,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0003,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0003,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0003,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0004,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0004,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0004,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0004,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0004,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0004,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0005,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0005,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0005,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0005,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0005,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0005,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0006,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0006,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0006,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0006,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0006,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0006,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0007,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0007,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0007,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0007,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0007,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0007,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0008,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0008,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0008,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0008,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0008,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0008,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0009,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0009,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0009,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0009,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0009,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0009,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0010,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0010,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0010,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0010,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0010,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0010,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0011,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0011,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0011,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0011,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0011,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0011,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
cou0012,1.5.0,strGroup,,Country,FALSE,2016-12-01
cou0012,1.5.0,vThreshold,1,-3,TRUE,2016-12-01
cou0012,1.5.0,vThreshold,2,-2,TRUE,2016-12-01
cou0012,1.5.0,vThreshold,3,2,TRUE,2016-12-01
cou0012,1.5.0,vThreshold,4,3,TRUE,2016-12-01
cou0012,1.5.0,strMethod,,NormalApprox,FALSE,2016-12-01
qtl0004,1.5.0,strGroup,,Study,FALSE,2016-12-01
qtl0004,1.5.0,vThreshold,1,0.01,TRUE,2016-12-01
qtl0004,1.5.0,strMethod,,qtl,FALSE,2016-12-01
qtl0004,1.5.0,strOutcome,,rate,FALSE,2016-12-01
qtl0006,1.5.0,strGroup,,Study,FALSE,2016-12-01
qtl0006,1.5.0,vThreshold,1,0.2,TRUE,2016-12-01
qtl0006,1.5.0,strMethod,,qtl,FALSE,2016-12-01
qtl0006,1.5.0,strOutcome,,rate,FALSE,2016-12-01
